,Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
0,3-Jan-94,,,,326.095,,,,,,6.7745,,31.37,,,807.2,0.29852,2.6871,,,,7.5135,0.3845,,,,3.64,,3.745,1.6083,3.4,8.363,1.479,,5.834,3.671,,1.0,
1,4-Jan-94,,0.6873,,331.21,,1.3174,,,,6.802,,31.37,,113.1,808.1,0.29869,2.6365,,,,7.539,0.3845,,,,3.64,,3.745,1.6128,3.4,8.3685,1.487,25.58,5.82041,3.671,1.482,1.0,
2,5-Jan-94,,0.687,,336.47,,1.318,,,,6.7625,,31.37,,113.2,809.0,0.29869,2.621,,,0.5607,7.5015,0.3845,,,,3.64,,3.745,1.6063,3.4,8.2435,1.479,25.56,5.82987,3.671,1.4862,1.0,
3,6-Jan-94,,0.6857,,341.81,,1.3211,,,,6.764,,31.37,,112.8,811.3,0.29869,2.627,,,0.5587,7.4995,0.3845,,,,3.64,,3.745,1.5959,3.4,8.2435,1.475,25.57,5.82018,3.671,1.4843,1.0,
4,7-Jan-94,,0.6857,,347.225,,1.3234,,,,6.77,,31.37,,112.55,813.0,0.29869,2.6243,,,0.557,7.504,0.3845,,,,3.64,,3.745,1.5968,3.4,8.209,1.4805,25.55,5.80606,3.671,1.4836,1.0,
5,10-Jan-94,,0.6849,,352.725,,1.3173,,,,6.7295,,31.37,,111.75,813.4,0.2981,2.644,,,0.5584,7.4735,0.3845,,,,3.64,,3.745,1.5963,3.4,8.209,1.467,25.51,5.80183,3.671,1.4925,1.0,
6,11-Jan-94,,0.6904,,358.3,,1.3217,,,,6.75,,31.37,,112.4,812.0,0.29823,2.6895,,,0.5597,7.5175,0.3845,,,,3.64,,3.745,1.5995,3.4,8.1995,1.4755,25.54,5.79277,3.671,1.4895,1.0,
7,12-Jan-94,,0.6894,,363.97,,1.3207,,,,6.743,,31.37,,112.2,811.7,0.29823,2.7225,,,0.5593,7.5055,0.3845,,,,3.64,,3.745,1.6045,3.4,8.1995,1.4685,25.55,5.79812,3.671,1.497,1.0,
8,13-Jan-94,,0.6905,,369.73,,1.3211,,,,6.7345,,31.37,,112.3,811.3,0.29823,2.723,,,0.5583,7.507,0.3845,,,,3.64,,3.745,1.6027,3.4,8.1752,1.462,25.55,5.79484,3.671,1.4987,1.0,
9,14-Jan-94,,0.6892,,381.525,,1.3205,,,,6.778,,31.37,,111.7,811.0,0.29823,2.726,,,0.558,7.5445,0.3845,,,,3.64,,3.745,1.6066,3.41,8.1715,1.4822,25.55,5.79891,3.671,1.492,1.0,
10,17-Jan-94,,0.6897,,387.56,,1.3197,,,,6.7885,,31.37,,111.3,811.5,0.29811,2.7305,,,0.5577,7.55,0.3845,,,,3.64,,3.745,1.6073,3.41,8.1845,1.4791,25.54,5.81769,3.671,1.4935,1.0,
11,18-Jan-94,,0.6968,,387.545,,1.3157,,,,6.7955,,31.37,,110.9,812.3,0.29811,2.721,,,0.5608,7.5365,0.3845,,,,3.64,,3.745,1.6076,3.42,8.1195,1.471,25.53,5.80274,3.671,1.4955,1.0,
12,19-Jan-94,,0.6998,,393.905,,1.3107,,,,6.773,,31.37,,111.0,812.0,0.29811,2.7235,,,0.5649,7.504,0.3845,,,,3.64,,3.745,1.608,3.41,8.096,1.4617,25.52,5.83489,3.671,1.4912,1.0,
13,20-Jan-94,,0.701,,400.38,,1.3102,,,,6.7895,,31.37,,111.4,810.6,0.29811,2.738,,,0.5653,7.521,0.3845,,,,3.64,,3.745,1.6093,3.41,8.135,1.4682,25.53,5.79823,3.671,1.4922,1.0,
14,21-Jan-94,,0.7022,,406.975,,1.3112,,,,6.7635,,31.37,,111.25,810.5,0.29811,2.736,,,0.5644,7.4905,0.3845,,,,3.64,,3.745,1.6057,3.41,8.0435,1.4547,25.52,5.79806,3.671,1.501,1.0,
15,24-Jan-94,,0.7016,,413.685,,1.3109,,,,6.8105,,31.37,,112.2,810.2,0.29826,2.769,,,0.565,7.5395,0.3845,,,,3.64,,3.745,1.609,3.42,8.0765,1.4688,25.55,5.81615,3.671,1.4936,1.0,
16,25-Jan-94,,0.7084,,420.51,,1.3116,,,,6.7985,,31.37,,111.65,809.4,0.29812,2.766,,,0.5684,7.526,0.3845,,,,3.64,,3.745,1.6035,3.42,8.041,1.473,25.54,5.8157,3.671,1.4927,1.0,
17,26-Jan-94,,0.7084,,427.72,,1.3131,,,,6.786,,31.37,,110.3,809.1,0.29792,2.7535,,,0.5686,7.5035,0.3845,,,,3.64,,3.745,1.5995,3.42,7.9619,1.4716,25.5,5.80296,3.671,1.4963,1.0,
18,27-Jan-94,,0.7088,,435.04,,1.3116,,,,6.7835,,31.37,,109.6,808.7,0.29772,2.7585,,,0.5688,7.5065,0.3845,,,,3.64,,3.745,1.5977,3.42,7.984,1.47,25.47,5.82181,3.671,1.4942,1.0,
19,28-Jan-94,,0.7075,,442.49,,1.3241,,,,6.7395,,31.37,,108.7,808.4,0.29772,2.7505,,,0.5671,7.4615,0.3845,,,,3.64,,3.745,1.5943,3.41,7.945,1.464,25.43,5.80804,3.671,1.4995,1.0,
20,31-Jan-94,,0.7112,,450.085,,1.3273,417.73,8.7,,6.7575,,31.37,,109.9,808.1,0.29772,2.7598,,3.105,0.5693,7.484,0.3845,,27.724,21692.0,3.64,,3.745,1.5958,3.42,7.9415,1.4635,25.48,5.81931,3.671,1.4981,1.0,
21,1-Feb-94,,0.7133,,458.65,,1.3305,417.73,8.7,,6.7335,,31.37,,108.2,808.8,0.29723,2.7598,,3.105,0.5713,7.4505,0.3845,,27.724,21692.0,3.64,,3.745,1.5918,3.41,7.894,1.4535,25.42,5.80796,3.671,1.504,1.0,
22,2-Feb-94,,0.7134,,467.363,,1.3275,417.73,8.7,,6.7215,,31.37,,108.3,807.9,0.29723,2.7703,,3.105,0.5724,7.4425,0.3845,,27.724,21692.0,3.64,,3.745,1.5881,3.41,7.8935,1.449,25.42,5.82957,3.671,1.4977,1.0,
23,3-Feb-94,,0.7151,,476.244,,1.3274,417.73,8.7,,6.7495,,31.37,,108.35,807.7,0.29723,2.7687,,3.105,0.5715,7.4695,0.3845,,27.724,21692.0,3.64,,3.745,1.5876,3.42,7.9125,1.4575,25.43,5.88209,3.671,1.4965,1.0,
24,4-Feb-94,,0.7145,,485.296,,1.3342,417.73,8.7,,6.7625,,31.37,,108.5,807.6,0.29723,2.768,,3.105,0.5706,7.4825,0.3845,,27.724,21692.0,3.64,,3.745,1.5876,3.42,7.883,1.455,25.43,5.86834,3.671,1.489,1.0,
25,7-Feb-94,,0.712,,494.445,,1.3416,417.73,8.7,,6.833,,31.37,,109.0,807.6,0.29753,2.765,,3.105,0.5707,7.5535,0.3845,,27.724,21692.0,3.64,,3.745,1.5911,3.43,7.97,1.47,25.47,5.86897,3.671,1.482,1.0,
26,8-Feb-94,,0.7184,,503.755,,1.342,417.73,8.7,,6.8295,,31.37,,108.5,808.7,0.29732,2.7598,,3.105,0.5734,7.5495,0.3845,,27.724,21692.0,3.64,,3.745,1.5887,3.44,7.97,1.4715,25.45,5.84646,3.671,1.476,1.0,
27,9-Feb-94,,0.7183,,513.244,,1.3443,417.73,8.7,,6.848,,31.37,,108.0,808.7,0.29743,2.758,,3.105,0.5755,7.5705,0.3845,,27.724,21692.0,3.64,,3.745,1.588,3.44,8.07,1.478,25.46,5.84506,3.671,1.461,1.0,
28,10-Feb-94,,0.7208,,522.931,,1.3416,417.73,8.7,,6.858,,31.37,,108.2,808.7,0.29727,2.758,,3.105,0.5769,7.5875,0.3845,,27.724,21692.0,3.64,,3.745,1.588,3.45,8.053,1.4835,25.45,5.8454,3.671,1.4595,1.0,
29,11-Feb-94,,0.717,,532.659,,1.3428,417.73,8.7,,6.8505,,31.37,,108.2,808.7,0.29727,2.758,,3.105,0.5744,7.577,0.3845,,27.724,21692.0,3.64,,3.745,1.588,3.45,8.053,1.4799,25.44,5.85415,3.671,1.4615,1.0,
30,14-Feb-94,,0.7113,,532.659,,1.3534,417.73,8.7,,6.827,,31.37,,106.2,811.0,0.29685,2.7531,,3.105,0.5728,7.5535,0.3845,,27.724,21692.0,3.64,,3.745,1.5843,3.44,8.0605,1.468,25.39,5.85415,3.671,1.4675,1.0,
